,CNH,CNY,Basis
6/23/2022, 6.70 , ¥6.70 ,-0.0015
6/24/2022, 6.68 , ¥6.69 ,0.0052
6/27/2022, 6.69 , ¥6.69 ,-0.0015
6/28/2022, 6.70 , ¥6.71 ,0.0045
6/29/2022, 6.71 , ¥6.70 ,-0.0071
6/30/2022, 6.69 , ¥6.70 ,0.0053
7/1/2022, 6.70 , ¥6.70 ,0.0033
7/4/2022, 6.69 , ¥6.70 ,0.0056
7/5/2022, 6.71 , ¥6.72 ,0.0074
7/6/2022, 6.71 , ¥6.71 ,-0.0077
7/7/2022, 6.69 , ¥6.70 ,0.0083
7/8/2022, 6.68 , ¥6.69 ,0.0106
7/11/2022, 6.73 , ¥6.72 ,-0.0077
7/12/2022, 6.74 , ¥6.72 ,-0.0132
7/13/2022, 6.73 , ¥6.72 ,-0.0076
7/14/2022, 6.76 , ¥6.75 ,-0.0069
7/15/2022, 6.75 , ¥6.76 ,0.0023
7/18/2022, 6.76 , ¥6.74 ,-0.0172
7/19/2022, 6.74 , ¥6.74 ,-0.0011
7/20/2022, 6.77 , ¥6.75 ,-0.0201
7/21/2022, 6.77 , ¥6.77 ,-0.0035
7/22/2022, 6.76 , ¥6.75 ,-0.0071
7/25/2022, 6.75 , ¥6.75 ,-0.0011
7/26/2022, 6.77 , ¥6.76 ,-0.0045
7/27/2022, 6.74 , ¥6.76 ,0.0146
7/28/2022, 6.74 , ¥6.75 ,0.0031
7/29/2022, 6.75 , ¥6.74 ,-0.007
8/1/2022, 6.78 , ¥6.77 ,-0.0169
8/2/2022, 6.78 , ¥6.75 ,-0.0273
8/3/2022, 6.76 , ¥6.76 ,-0.004
8/4/2022, 6.75 , ¥6.75 ,-0.0019
8/5/2022, 6.77 , ¥6.76 ,-0.0058
8/8/2022, 6.76 , ¥6.75 ,-0.0113
8/9/2022, 6.75 , ¥6.75 ,-0.0016
8/10/2022, 6.72 , ¥6.72 ,0.0002
8/11/2022, 6.74 , ¥6.74 ,0.0009
8/12/2022, 6.74 , ¥6.74 ,0.0063
8/15/2022, 6.82 , ¥6.77 ,-0.0441
8/16/2022, 6.79 , ¥6.79 ,-0.0044
8/17/2022, 6.79 , ¥6.78 ,-0.0106
8/18/2022, 6.80 , ¥6.79 ,-0.0161
8/19/2022, 6.83 , ¥6.82 ,-0.0182
8/22/2022, 6.87 , ¥6.85 ,-0.0191
8/23/2022, 6.85 , ¥6.83 ,-0.0196
8/24/2022, 6.88 , ¥6.86 ,-0.017
8/25/2022, 6.85 , ¥6.85 ,-0.0021
8/26/2022, 6.89 , ¥6.87 ,-0.0228
8/29/2022, 6.91 , ¥6.91 ,-0.008
8/30/2022, 6.92 , ¥6.91 ,-0.0125
8/31/2022, 6.91 , ¥6.89 ,-0.0163
9/1/2022, 6.92 , ¥6.91 ,-0.0084
9/2/2022, 6.92 , ¥6.90 ,-0.0198
9/5/2022, 6.94 , ¥6.93 ,-0.0086
9/6/2022, 6.97 , ¥6.95 ,-0.0164
9/7/2022, 6.96 , ¥6.97 ,0.0092
9/8/2022, 6.96 , ¥6.96 ,-0.0047
9/9/2022, 6.94 , ¥6.92 ,-0.0122
9/12/2022, 6.92 , ¥6.92 ,0.0071
9/13/2022, 6.98 , ¥6.92 ,-0.0571
9/14/2022, 6.97 , ¥6.96 ,-0.0121
9/15/2022, 7.01 , ¥6.99 ,-0.0195
9/16/2022, 7.00 , ¥6.98 ,-0.019
9/19/2022, 7.00 , ¥7.01 ,0.0012
9/20/2022, 7.03 , ¥7.02 ,-0.0121
9/21/2022, 7.07 , ¥7.05 ,-0.0265
9/22/2022, 7.08 , ¥7.08 ,-0.0024
9/23/2022, 7.13 , ¥7.13 ,-0.0064
9/26/2022, 7.17 , ¥7.13 ,-0.0415
9/27/2022, 7.18 , ¥7.18 ,-0.0022
9/28/2022, 7.16 , ¥7.20 ,0.0376
9/29/2022, 7.10 , ¥7.12 ,0.0227
9/30/2022, 7.14 , ¥7.11 ,-0.028
10/3/2022, 7.10 , ¥7.11 ,0.0102
10/4/2022, 7.04 , ¥7.11 ,0.0754
10/5/2022, 7.07 , ¥7.11 ,0.0464
10/6/2022, 7.08 , ¥7.11 ,0.0297
10/7/2022, 7.13 , ¥7.11 ,-0.0179
10/9/2022, 7.13 , ¥7.11 ,-0.0163
10/10/2022, 7.15 , ¥7.15 ,0.0009
10/11/2022, 7.17 , ¥7.16 ,-0.0045
10/12/2022, 7.17 , ¥7.17 ,-0.0026
10/13/2022, 7.17 , ¥7.17 ,-0.0047
10/14/2022, 7.22 , ¥7.19 ,-0.0267
10/17/2022, 7.21 , ¥7.19 ,-0.0133
10/18/2022, 7.22 , ¥7.20 ,-0.0234
10/19/2022, 7.27 , ¥7.23 ,-0.0399
10/20/2022, 7.26 , ¥7.21 ,-0.0433
10/21/2022, 7.23 , ¥7.24 ,0.0115
10/24/2022, 7.33 , ¥7.26 ,-0.0626
10/25/2022, 7.31 , ¥7.27 ,-0.0452
10/26/2022, 7.19 , ¥7.17 ,-0.0149
10/27/2022, 7.25 , ¥7.22 ,-0.0257
10/28/2022, 7.27 , ¥7.25 ,-0.0199
10/31/2022, 7.34 , ¥7.30 ,-0.0341
11/1/2022, 7.31 , ¥7.27 ,-0.0345
11/2/2022, 7.34 , ¥7.29 ,-0.0555
11/3/2022, 7.33 , ¥7.30 ,-0.0293
11/4/2022, 7.18 , ¥7.18 ,0.0074
11/7/2022, 7.23 , ¥7.23 ,-0.0027
11/8/2022, 7.23 , ¥7.25 ,0.0175
11/9/2022, 7.27 , ¥7.24 ,-0.0314
11/10/2022, 7.15 , ¥7.18 ,0.033
11/11/2022, 7.09 , ¥7.11 ,0.0181
11/14/2022, 7.04 , ¥7.07 ,0.0297
11/15/2022, 7.05 , ¥7.04 ,-0.002
11/16/2022, 7.11 , ¥7.08 ,-0.0223
11/17/2022, 7.15 , ¥7.16 ,0.0089
11/18/2022, 7.12 , ¥7.12 ,-0.0046
11/21/2022, 7.18 , ¥7.16 ,-0.0147
11/22/2022, 7.14 , ¥7.14 ,0.0033
11/23/2022, 7.15 , ¥7.16 ,0.0055
11/24/2022, 7.17 , ¥7.15 ,-0.0186
11/25/2022, 7.20 , ¥7.16 ,-0.0315
11/28/2022, 7.25 , ¥7.21 ,-0.0397
11/29/2022, 7.14 , ¥7.16 ,0.0139
11/30/2022, 7.04 , ¥7.09 ,0.043
12/1/2022, 7.04 , ¥7.04 ,0.0047
12/2/2022, 7.02 , ¥7.02 ,0.0014
12/5/2022, 6.97 , ¥6.96 ,-0.0129
12/6/2022, 6.98 , ¥6.99 ,0.0126
12/7/2022, 6.96 , ¥6.97 ,0.0092
12/8/2022, 6.96 , ¥6.96 ,0.0048
12/9/2022, 6.97 , ¥6.96 ,-0.0162
12/12/2022, 6.99 , ¥6.98 ,-0.0115
12/13/2022, 6.96 , ¥6.94 ,-0.02
12/14/2022, 6.94 , ¥6.95 ,0.0066
