Date,VAS.AX,VGS.AX,VAP.AX,VGB.AX,VBND.AX,Cash
1/15/2019,0.007435587,0.013157895,0.006989674,0.000664011,-0.004561825,0
1/16/2019,0.003604531,0,-0.000473261,-0.00066357,0.003617945,9.94827E-05
1/17/2019,0.002907474,0,0.003472222,-0.000221337,0,0
1/18/2019,0.004263302,0.012987013,-0.003932054,-0.001992473,-0.003364576,9.94728E-05
1/22/2019,-0.002886738,0,0.005052898,0.001552795,0.001205691,0.000198926
1/23/2019,-0.002384196,0,0.004870385,0.000664452,0,0
1/24/2019,0.004096961,0,-0.004534084,0.001328021,0.003131021,9.94431E-05
1/25/2019,0.006800408,0,0.019004241,0.002431477,0.00240096,0
1/29/2019,-0.007092199,0,0.011251541,0.00154355,0.000479042,0.000198866
1/30/2019,0.002891156,0.012820513,-0.001981405,-0.001981506,0.000718219,9.94135E-05
1/31/2019,-0.002034933,0,-0.012370189,0.000661813,0.001674641,-0.001491054
2/1/2019,-0.001529312,0,0.009432503,0.000881834,0,9.9552E-05
2/4/2019,0.00493533,0.012658228,-0.002910539,0,0,0.000199084
2/5/2019,0.018289585,0,0.004301736,-0.001101322,-0.000477669,0
2/6/2019,0.003825046,0,-0.004436286,0.002425579,0,9.95223E-05
2/7/2019,0.011762757,-0.0125,0.016902274,0.002639683,-0.000477897,9.95124E-05
2/8/2019,-0.004584903,0,0.007101843,0.002852128,0.003825006,0
2/11/2019,-0.002467511,0,-0.003300825,0.001312623,0.000238152,0.000199005
2/12/2019,0.004782322,0.012658228,0.00240855,-0.001966354,-0.000238095,9.94827E-05
2/13/2019,-0.001312982,0.0125,-0.010512089,-0.000875657,-0.000714456,0
2/14/2019,0.001643385,0,0.002276521,-0.000438212,-0.004051478,9.94728E-05
2/15/2019,0.001804758,0,0.012265294,0.001972819,0.001914334,0
2/19/2019,0.005568293,0.012345679,0.003440539,-0.001531394,0.000477669,0.000298389
2/20/2019,-0.001140065,0,-0.015802027,0.001752848,0.004535689,9.94332E-05
2/21/2019,0.007011251,0,-0.005149955,0.001312336,-0.002138783,9.94233E-05
2/22/2019,0.005343264,0,0.016900122,-0.000218436,0.000238152,0
2/25/2019,0.001610565,0,-0.007186705,0.000655451,0.001190476,0.000198827
2/26/2019,-0.0065927,0,-0.00708792,-0.000873362,0.000713436,9.93937E-05
2/27/2019,0.004532211,0,-0.003037667,0.001311189,0.000712928,0
2/28/2019,0.002255881,0,-0.000457038,-0.001745962,-0.003087153,-0.001391373
3/1/2019,0.006752412,0,0.020728547,-0.001093135,-0.000952835,9.95223E-05
3/4/2019,0.003513255,0,-0.001493206,-0.003064128,-0.001430615,9.95124E-05
3/5/2019,-0.002864418,0,0.004187229,0.001975851,0.002626552,9.95025E-05
3/6/2019,0.007660389,0,0.005063291,0.002410167,-0.000238152,0
3/7/2019,0.005543237,-0.012195122,0.009482886,0.001748634,-0.000952835,9.94926E-05
